%Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens,plant_dens,Date
43823,14.4,7.1,0.9,3.6,1.8,2019-12-24
43830,27.9,10.5,0.9,3.6,1.8,2019-12-31
43838,32.8,12.8,2.8,3.6,1.8,2020-01-08
43845,30.2,12.8,4.0,3.6,1.8,2020-01-15
43852,30.3,12.5,5.2,4.5,1.8,2020-01-22
43859,33.6,11.5,6.7,4.5,1.8,2020-01-29
43866,34.7,11.3,7.8,4.5,1.8,2020-02-05
43873,39.3,11.3,8.9,5.4,1.8,2020-02-12
43880,39.3,11.7,10.2,5.4,1.8,2020-02-19
43887,36.6,10.8,11.4,5.4,1.8,2020-02-26
43894,34.4,11.7,12.7,5.4,1.8,2020-03-04
43901,36.0,12.0,14.1,5.4,1.8,2020-03-11
43908,32.5,10.9,15.5,5.4,1.8,2020-03-18
43915,35.6,11.1,16.9,5.4,1.8,2020-03-25
43922,29.4,10.3,18.1,5.4,1.8,2020-04-01
43929,31.5,10.4,19.6,5.4,1.8,2020-04-08
43936,31.9,9.9,20.8,5.4,1.8,2020-04-15
43943,32.2,9.6,22.2,5.4,1.8,2020-04-22
43950,32.2,9.6,23.8,5.4,1.8,2020-04-29
43957,32.2,9.6,23.8,5.4,1.8,2020-05-06
43964,32.2,9.6,23.8,5.4,1.8,2020-05-13
43971,32.2,9.6,23.8,5.4,1.8,2020-05-20
43978,32.2,9.6,23.8,5.4,1.8,2020-05-27
